id,finding,title
1315,stalled_detector_gap,"The stalled-brief detector only fired on fifty_eco_system and attendance_app — lifeOS, hadir, igris-ai and hadir-system briefs aged 109-167 days produced zero suggestions"
1328,sandbox_projects_active,"Six scratch/test projects (test-v5-verify, agy-deny-test, igris-nobrief-*, igris-agy-hunt-*) sit in the active roster with open briefs, inflating every cross-project count"
1331,activity_clock_null,"Every project whose briefs dominate the stalled queue reports days_since_activity: null — the activity clock is not being written for fifty_eco_system, lifeOS, attendance_app, hadir-system or fifty-flutter-kit"
1344,sandbox_projects_active,"Seven throwaway test/sandbox projects (test-v5-verify, agy-deny-test, igris-nobrief-*, igris-agy-hunt-*, mbrgea-test, igris-os-eval) sit in the active roster, four carrying open briefs that feed the stalled detector"
1357,feco_slug_variant,"Two near-identical project slugs coexist — 'fifty_eco_system' (34 briefs, 0 learnings) and 'fifty-eco-system' (0 briefs, 7 learnings); likely one project split across two records"
1360,sandbox_projects_active,"Scaffolding projects (test-v5-verify, agy-deny-test, igris-nobrief-72866/74787, mbrgea-test, igris-agy-hunt-*) carry open briefs and pollute every roster and digest"
1539,stalled_detector_gap,"The stalled detector never fires on lifeOS, hadir, hadir-system or igris-ai despite briefs 114-161 days idle — its project scope looks incomplete"
1570,hadir_slug_fragmentation,"Four overlapping hadir project slugs (hadir, hadir-system, fya-hadir-app, moca-hadir-app) each hold open briefs — likely one product split across duplicate brain entries"
1593,stalled_module_stale_days,Queued 'stalled' suggestions report 48–68 days while the digest now shows those same briefs at 161–181 days — the stalled module's day counts are frozen at queue time and no longer reflect reality
1614,zero_learnings_lifeos_attendance,"lifeOS (14 open briefs, one P0) and attendance_app (4 open P1 briefs) have zero learnings and null activity — either work is happening outside the brain or these backlogs are orphaned"
1676,attendance_app_in_progress_stuck,"attendance_app carries four P1-High briefs, three of them In Progress for 167 days, with no learnings and no recorded activity — likely an abandoned in-flight rebrand"
1689,stalled_detector_gap,"The stalled and gap detectors emitted 66 of 66 open suggestions against just two projects — lifeOS, hadir, and attendance_app briefs of equal or greater age were never flagged"
1695,hadir_slug_fragmentation,"MOCA rebrand/UI work is split across four projects (hadir, hadir-system, attendance_app, moca-hadir-app) with overlapping briefs and no visible parent"
1795,inert_roster_projects,"Four registered 'active' projects (customerpulse, igris-os-eval, customerpulse-android, customerpulse-flutter) have zero or one learning, zero open briefs, and 84+ days or null activity — they are inert roster entries inflating every project-count metric"
1822,in_progress_status_stale,"Eleven briefs across five projects are marked 'In Progress' with 132–191 days since update — 'In Progress' is being used as a filing state, not a work state, so no dashboard can tell what is actually being worked on"
1831,inert_roster_projects,"Four projects are registered 'active' with zero briefs, zero learnings and null activity (customerpulse, igris-os-eval, plus hadir-system and moca-hr-agent holding a single untouched brief each) — the project roster is carrying empty rows that inflate every per-project denominator"
1883,in_progress_status_stale,Ten briefs are 'In Progress' with 133–191 days since update across five projects with zero recorded activity — 'In Progress' has decayed into a synonym for 'abandoned mid-flight' and no longer signals anything to the operator
1885,in_progress_status_stale,"Fourteen briefs across six projects sit at 'In Progress' with 133–191 days since update — no project has more than one genuinely active workstream, so the In Progress set is almost entirely false"
1915,in_progress_status_stale,Every 'In Progress' brief in the digest is at least 136 days old — the status carries no information about what is actually being worked right now
